epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.9643,1.38307,2.42693,1.61964,1,0.20215,0.6865,0.40012,1.35189,3.16368,1.70587,0.00048343,0.00048343,0.00048343
2,73.7405,1.35151,1.74719,1.52718,0.88369,0.51816,0.62004,0.31711,1.73722,2.84632,2.00697,0.000964056,0.000964056,0.000964056
3,101.168,1.33823,1.61671,1.53523,0.65014,0.46475,0.46324,0.20615,2.0787,3.35181,2.40867,0.00142488,0.00142488,0.00142488
4,127.109,1.33031,1.53724,1.50609,0.59742,0.5,0.43813,0.22009,1.8979,2.78156,2.27034,0.00156798,0.00156798,0.00156798
5,152.748,1.36126,1.53071,1.52548,0.71441,0.68224,0.74741,0.3856,1.59637,2.38218,2.08208,0.00153497,0.00153497,0.00153497
6,179.606,1.36136,1.47255,1.5034,0.67723,0.70455,0.62711,0.28799,1.8211,2.67965,2.02554,0.00150197,0.00150197,0.00150197
7,209.243,1.28924,1.29175,1.47421,0.71266,0.70455,0.68127,0.38334,1.66233,1.69905,1.98111,0.00146896,0.00146896,0.00146896
8,236.514,1.26833,1.2514,1.45706,0.73967,0.75,0.74474,0.39716,1.46361,1.65929,1.81792,0.00143595,0.00143595,0.00143595
9,266.068,1.26624,1.18105,1.45303,0.78534,0.59091,0.73898,0.46884,1.40108,1.4247,1.69577,0.00140295,0.00140295,0.00140295
10,294.832,1.22137,1.10354,1.41082,0.60875,0.77273,0.68301,0.46241,1.30301,1.69438,1.62603,0.00136994,0.00136994,0.00136994
11,323.406,1.26572,1.15978,1.44483,0.84834,0.76289,0.77658,0.40959,1.58363,1.39435,1.8025,0.00133693,0.00133693,0.00133693
12,351.695,1.19369,1.11257,1.41994,0.71292,0.77273,0.75104,0.41521,1.3032,1.2185,1.58136,0.00130393,0.00130393,0.00130393
13,380.945,1.24227,1.10411,1.4203,0.78336,0.61364,0.73669,0.38974,1.59902,1.32857,1.81405,0.00127092,0.00127092,0.00127092
14,407.395,1.27519,1.12896,1.43099,0.77075,0.86364,0.80501,0.46604,1.34751,1.17982,1.63768,0.00123791,0.00123791,0.00123791
15,434.743,1.23225,1.03276,1.39716,0.79357,0.87383,0.76703,0.45518,1.3055,1.10366,1.62243,0.00120491,0.00120491,0.00120491
16,462.626,1.17063,0.99392,1.36649,0.7867,0.79545,0.75351,0.45103,1.35503,1.08311,1.66333,0.0011719,0.0011719,0.0011719
17,490.685,1.1477,0.95365,1.36817,0.87803,0.77273,0.87134,0.55971,1.29575,0.91668,1.53558,0.00113889,0.00113889,0.00113889
18,517.77,1.149,0.9372,1.3613,0.82422,0.79545,0.82562,0.55058,1.31098,0.99789,1.49943,0.00110589,0.00110589,0.00110589
19,547.935,1.12463,0.87302,1.35373,0.82153,0.88636,0.88923,0.58919,1.28317,0.90066,1.53529,0.00107288,0.00107288,0.00107288
20,580.325,1.12503,0.88366,1.33144,0.84031,0.86364,0.88113,0.58301,1.28185,0.87135,1.48649,0.00103987,0.00103987,0.00103987
21,608.58,1.1145,0.89825,1.3235,0.80389,0.74539,0.81453,0.52862,1.37072,1.08656,1.78245,0.00100687,0.00100687,0.00100687
22,635.994,1.10252,0.85813,1.32715,0.79286,0.87003,0.89597,0.59196,1.26833,0.8503,1.58326,0.000973861,0.000973861,0.000973861
23,664.647,1.10899,0.838,1.32497,0.88932,0.84091,0.92212,0.61374,1.2094,0.77208,1.41995,0.000940855,0.000940855,0.000940855
24,693.748,1.07013,0.863,1.29957,0.83873,0.93182,0.85054,0.52488,1.24828,0.81962,1.50695,0.000907848,0.000907848,0.000907848
25,722.113,1.0687,0.81424,1.29268,0.84077,0.86364,0.87526,0.5895,1.18458,0.78184,1.48872,0.000874842,0.000874842,0.000874842
26,748.751,1.02322,0.75779,1.28897,0.82859,0.76912,0.77313,0.49889,1.30003,0.89508,1.59631,0.000841835,0.000841835,0.000841835
27,775.258,1.0773,0.79178,1.29514,0.84055,0.86364,0.89913,0.61218,1.2523,0.74379,1.55014,0.000808828,0.000808828,0.000808828
28,801.181,1.02375,0.74972,1.27444,0.82185,0.81818,0.805,0.56321,1.20053,0.79276,1.46287,0.000775822,0.000775822,0.000775822
29,828.635,0.99221,0.71943,1.23155,0.83399,0.95455,0.88822,0.59836,1.15989,0.71216,1.42653,0.000742815,0.000742815,0.000742815
30,856.084,1.00288,0.69696,1.25883,0.84952,0.93182,0.90944,0.62774,1.21596,0.68815,1.48058,0.000709809,0.000709809,0.000709809
31,882.763,0.97613,0.70285,1.25924,0.84594,0.88636,0.91328,0.62184,1.13584,0.68797,1.41177,0.000676802,0.000676802,0.000676802
32,910.461,0.98631,0.69991,1.24016,0.85051,0.9052,0.90738,0.64104,1.18649,0.72426,1.479,0.000643795,0.000643795,0.000643795
33,937.555,0.96404,0.67305,1.23615,0.8434,0.88636,0.90881,0.61162,1.16976,0.69851,1.46052,0.000610789,0.000610789,0.000610789
34,963.146,0.9598,0.67223,1.23342,0.78179,0.89579,0.88993,0.62856,1.14655,0.7732,1.42509,0.000577782,0.000577782,0.000577782
35,989.703,0.97117,0.65479,1.21825,0.8315,0.89731,0.87967,0.60813,1.18448,0.68535,1.46061,0.000544776,0.000544776,0.000544776
36,1015.26,0.92517,0.68121,1.21171,0.806,0.95455,0.88593,0.58252,1.18382,0.69136,1.42711,0.000511769,0.000511769,0.000511769
37,1041.67,0.95326,0.68107,1.21409,0.81234,0.88544,0.83986,0.56833,1.18993,0.66754,1.52732,0.000478762,0.000478762,0.000478762
38,1069.33,0.95526,0.65853,1.21276,0.83131,0.90909,0.8855,0.61137,1.17511,0.66546,1.52383,0.000445756,0.000445756,0.000445756
39,1118.89,0.89512,0.62972,1.20645,0.85668,0.86364,0.819,0.54562,1.20645,0.67241,1.508,0.000412749,0.000412749,0.000412749
40,1147.16,0.91931,0.60816,1.21187,0.85609,0.81818,0.89145,0.6263,1.16899,0.65519,1.52831,0.000379743,0.000379743,0.000379743
41,1180.27,0.93029,0.6072,1.22989,0.84719,0.88206,0.85472,0.58186,1.23579,0.70031,1.48547,0.000346736,0.000346736,0.000346736
42,1208.98,0.90581,0.56804,1.21221,0.8655,0.90909,0.85249,0.6107,1.12295,0.68063,1.39529,0.000313729,0.000313729,0.000313729
